ReadID	SampleName	SampleID	ReadLength	ReadAvgQualScore
GSXD9VZ02JGAO3	10_D_B02_2010_12_17_2	10_D_B02	514	35
GSXD9VZ02I6XYW	10_D_B02_2010_12_17_2	10_D_B02	493	37
GSXD9VZ02GCC3M	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02G788J	10_D_B02_2010_12_17_2	10_D_B02	485	36
GSXD9VZ02HDUT1	10_D_B02_2010_12_17_2	10_D_B02	479	37
GSXD9VZ02H8OUH	10_D_B02_2010_12_17_2	10_D_B02	505	33
GSXD9VZ02FV8TB	10_D_B02_2010_12_17_2	10_D_B02	514	35
GSXD9VZ02GWQB2	10_D_B02_2010_12_17_2	10_D_B02	523	36
GSXD9VZ02I9T6A	10_D_B02_2010_12_17_2	10_D_B02	482	30
GSXD9VZ02GHGPJ	10_D_B02_2010_12_17_2	10_D_B02	500	36
GSXD9VZ02IKWOP	10_D_B02_2010_12_17_2	10_D_B02	401	31
